KP,LI,LJ,RI,RJ
97.6,,,236,5
97.8,236,22,236,5
98.0,236,20,236,4
98.2,236,16,236,3
98.4,236,13,236,2
98.6,236,20,236,1
98.8,236,9,236,1
99.0,236,8,236,1
99.2,236,7,236,2
99.4,236,7,236,2
99.6,236,7,236,2
100.2,236,7,236,2
100.4,236,7,236,2
100.6,236,7,236,1
100.8,236,8,236,3
101.0,236,8,236,1
101.2,236,9,236,5
101.4,236,12,236,6
101.6,236,16,236,1
101.8,236,19,236,1
102.0,236,22,236,1
102.2,236,24,236,1
102.4,236,25,236,1
102.6,236,23,236,12
102.8,236,19,236,9
103.0,236,17,236,6
103.2,236,18,236,6
103.4,236,25,236,1
103.6,236,18,236,1
103.8,236,23,236,15
104.0,236,25,236,15
104.2,236,27,236,25
104.4,236,30,236,10
104.6,236,30,236,1
104.8,236,30,236,1
105.0,236,30,236,1
105.2,236,30,236,1
105.4,236,29,236,1
105.6,236,30,236,1
105.8,236,30,236,1
106.0,236,30,234,1
106.2,236,30,231,1
106.4,225,30,222,10
106.6,,,211,13
106.8,,,200,15
107.0,,,189,14
107.2,,,175,9
107.4,,,165,3
107.6,,,157,18
107.8,146,30,149,14
108.0,140,30,140,20
108.2,132,24,132,19
108.4,124,24,124,18
108.6,117,23,116,18
108.8,110,23,109,21
109.0,100,21,106,10
